track,tempo,score
"Oh Nanana",172.335,6.63500022888184
Skyldig,100.051,7.52199983596802
"Te Acuerdas de Mí",89.999,6.40299987792969
"La Noche No Es para Dormir",100.054,6.4539999961853
Boxerschnitt,96.012,7.00600004196167
Hello,94.985,5.23000001907349
"Ya Me Enteré (feat. Nicky Jam) - Urban Version",114.679,5.49300003051758
"Hedefini Bul",127.001,5.5
"Hula Hula",101.932,7.4689998626709
"Ayer 2 (feat. Dj Nelson, J Balvin, Nicky Jam, Cosculluela)",91.998,5.49300003051758
"Grenja (feat. Salka Sól)",125.967,7.50400018692017
"Von Party zu Party",120.002,7.00600004196167
Hyggesang,103.999,7.52199983596802
"Tan Fácil",90.036,5.23000001907349
"My Addiction",102.018,7.28399991989136
"Kimiga Suki",132.426,5.92000007629395
"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")",139.839,5.42999982833862
"In Amsterdam",143.889,7.3769998550415
Oceans,119.973,7.28399991989136
"Sign Your Name - Cover",129.961,7.00600004196167
"Me Emborrachare - Bachata Radio Edit",124.037,5.18100023269653
"Little Do You Know",145.879,6.57200002670288
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",169.801,5.49300003051758
"Notes pour trop tard (feat. Ibeyi)",167.758,6.89099979400635
"Both of Us",160.108,5.26200008392334
Ayer,118.977,5.23000001907349
"Escápate Conmigo - Remix",92.015,5.49300003051758
"Sua Amiga Vou Pegar",130.026,6.63500022888184
"Di Atas Meja",76.845,5.26200008392334
"目抜き通り",125.314,5.92000007629395
"Me Descontrola",92.062,5.49300003051758
"Fy Faen",103.054,7.28399991989136
"El Adamı",140.056,5.5
"Star Of The Show",101.988,7.31599998474121
"Say It (feat. Tove Lo)",74.963,7.28399991989136
"Noche Loca",112.094,5.49300003051758
"Soy Peor Remix (feat. J Balvin, Ozuna & Arcangel)",115.997,5.49300003051758
"Kazdy rano",120.092,6.60900020599365
Solo,98.045,5.49300003051758
Olsun,100.009,5.5
"This Town",147.971,5.26200008392334
"Nunca Me Olvides",95.005,5.49300003051758
"Rápido, Brusco, Violento",96.997,6.40299987792969
"Fashion (feat. Rich The Kid)",143.03,6.99300003051758
Colosseum,94.922,6.60900020599365
"Santa Claus Is Comin' to Town",143.109,7.28399991989136
"Story X",124.08,6.89099979400635
"False Alarm",173.998,6.60900020599365
R.Y.U.S.E.I.,128.007,5.92000007629395
"Qual Bumbum Mais Bate",86.76,5.49300003051758
"Między słowami",107.129,5.97300004959106
"Davay Davay - feat. Muti",119.998,5.5
"ロビンソン",111.053,5.92000007629395
"Mehr als du",133.011,7.00600004196167
"Smells Like Teen Spirit",116.775,7.28399991989136
Vay,120.172,5.5
H.O.L.Y.,78.003,7.31599998474121
September,125.895,7.28399991989136
"Bailame despacio - Piso 21 Remix",176.021,5.49300003051758
"Say To Me",125.976,6.71400022506714
"Nobody Compares To You",104.884,5.26200008392334
"Vah ki Ne Vah",133.961,5.5
"Number 1",114.912,6.71400022506714
"El Último Trago",150.09,6.4539999961853
"Under 18",94.989,7.52199983596802
"Bilir mi?",110.03,5.5
"Nada Nada - Ao Vivo",169.857,6.63500022888184
"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)",149.906,5.26200008392334
"Feel Good Inc",138.559,7.28399991989136
"Fetty Wap",99.981,7.3769998550415
"Besos En Guerra",143.979,6.35699987411499
"Se Mig Nu",129.982,7.52199983596802
"Si Tú Me Quisieras",209.795,6.57800006866455
CQCQ,143.911,5.92000007629395
"Chill Bill",108.034,7.28399991989136
"Aleni Aleni",128.051,5.5
"Suíte 14 - Ao Vivo",102.075,6.63500022888184
"Vive Y Disfruta",109.847,6.4539999961853
Remember,106.075,5.92000007629395
Basique,132.068,6.89099979400635
"Mi Casa",99.481,6.40299987792969
Sirenas,126.98,6.40299987792969
"Palmen aus Gold",96.017,7.00600004196167
Herzbeben,128.001,7.00600004196167
"Infiel - Ao Vivo",126.08,6.63500022888184
"Günah Benim",96.487,5.5
Magnolia,162.99,5.22700023651123
"Slecht Blijft (Bonus)",92.291,7.3769998550415
"Yağmur",82.965,5.5
"Você Merece Cachê - Ao Vivo",169.985,6.63500022888184
"Come Again",100.022,7.3769998550415
"G Blettur",145.996,7.50400018692017
"Ice Melts",124.949,5.22700023651123
"Give Me Your Love - Radio Edit",125.024,6.71400022506714
"No Smoke",143.966,6.99300003051758
"Komşu Işıklar",123.956,5.5
"Trevo (Tu)",99.911,5.19500017166138
"Hey Mamma - Radio Edit",110.098,5.22700023651123
Intro,94.528,7.00600004196167
"Snacket på stan",110.997,7.28399991989136
"Real Madrid",130.055,7.00600004196167
History,104.959,7.28399991989136
"Que Va",91.012,5.49300003051758
"Te Robo Remix",93.013,5.49300003051758
"Dile Que Tu Me Quieres",88.006,5.49300003051758
"Te Quiero Pa´Mi",88.997,5.49300003051758
"Ganas Locas",176.014,5.49300003051758
HAPPY,114.976,5.92000007629395
"Joy To The World",101.754,5.22700023651123
"Tu Sin Mi",83.965,6.4539999961853
"Po' encima (feat. Bryant Myers)",176.042,5.23000001907349
