songid,track,artist,region,datee,position,streams,danceability,energy,song_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_sig,country_name,rank,score,high,low,gdp,fam,health,freedom,gen,trust,dys
6XSYMtvkAuRdnQm0F7i3Bq,Já ég veit,Birnir,is,12/31/17,3,5788,0.817,0.477,1,-7.494,1,0.331,0.0476,0.000111,0.0895,0.711,91.061,180343,4,Iceland,3,7.504000187,7.622030473,7.385969901,1.48063302,1.610574007,0.833552122,0.627162635,0.475540221,0.153526559,2.322715282
19j4zJpumhQ2v0FottwCdD,Sodom und Gomorrha,Bushido,at,7/10/17,197,1632,0.519,0.833,6,-4.911,0,0.445,0.0626,0,0.255,0.538,91.724,201933,4,Austria,13,7.006000042,7.070669812,6.941330272,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,2.138506413
34LpWATZkEdPw0QxWwDc8E,Þú og ég,Kór Öldutúnsskóla,is,12/24/17,55,3465,0.623,0.615,0,-8.522,1,0.032,0.208,0,0.14,0.462,126.015,187307,4,Iceland,3,7.504000187,7.622030473,7.385969901,1.48063302,1.610574007,0.833552122,0.627162635,0.475540221,0.153526559,2.322715282
4QLIORoW6wqixcwpEyxoRu,Pejamkan Mata (feat. Dayang Nurfaizah),Malique,my,12/26/17,185,4287,0.658,0.719,3,-4.67,0,0.102,0.682,0,0.104,0.651,159.905,231027,4,Malaysia,42,6.084000111,6.179979637,5.988020585,1.29121542,1.284646034,0.618784428,0.402264982,0.41660893,0.065600708,2.004448891
7JvOGQbMHOcOnz4riGimUb,人生は夢だらけ,Sheena Ringo,jp,12/29/17,114,4998,0.382,0.532,8,-4.956,1,0.0382,0.0587,0,0.0861,0.695,200.362,194240,3,Japan,51,5.920000076,5.990719445,5.849280708,1.416915178,1.436337829,0.913475871,0.505625546,0.120572768,0.163760737,1.363223553
4UdzNCjI27SvzXvV1m0CKM,Bust Down,Trippie Redd,us,9/30/17,194,177235,0.778,0.433,2,-12.697,1,0.564,0.754,0,0.0907,0.665,146.015,243288,4,United States,14,6.993000031,7.074656748,6.911343313,1.546259284,1.419920564,0.774286628,0.505740523,0.392578781,0.135638788,2.218113422
3sr3vqiXLSDIMd2XUDsHoK,Hawaii,Luciano,at,8/29/17,183,1915,0.799,0.668,2,-9.513,1,0.423,0.224,1.59E-06,0.887,0.216,130.253,199700,4,Austria,13,7.006000042,7.070669812,6.941330272,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,2.138506413
4ZkwCJ2aorTrwgbx3J59oo,Mevsim Sonbahar,Emir,tr,12/30/17,185,8266,0.7,0.736,5,-8.402,0,0.0506,0.352,5.53E-06,0.195,0.406,95.998,216406,4,Turkey,69,5.5,5.594864963,5.405135037,1.198274374,1.337753177,0.637605608,0.3007406,0.046693042,0.09967158,1.879277945
20yDAohnjeOlLpnogPhnCO,Warlordz,Kollegah,at,12/13/17,185,2658,0.485,0.693,10,-6.478,0,0.288,0.128,0,0.49,0.567,89.568,186249,4,Austria,13,7.006000042,7.070669812,6.941330272,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,2.138506413
0VgkVdmE4gld66l8iyGjgx,Mask Off,Future,gr,12/31/17,71,1327,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,204600,4,Greece,87,5.227000237,5.325246169,5.128754304,1.289487481,1.239414573,0.810198903,0.095731251,0,0.043289777,1.749221563
4jaaMznp3KPllxbmRdiIbx,Hanatabanokawarinimelodywo,Shota Shimizu,jp,12/31/17,169,4009,0.422,0.483,8,-5.344,1,0.0292,0.0813,9.77E-06,0.276,0.286,129.869,309440,4,Japan,51,5.920000076,5.990719445,5.849280708,1.416915178,1.436337829,0.913475871,0.505625546,0.120572768,0.163760737,1.363223553
4AW9Fobw3ENnOFDKwKdq7Q,普通の今夜のことを ー let tonight be forever remembered ー,Daichi Miura,jp,12/31/17,86,6039,0.639,0.749,0,-4.916,1,0.182,0.0683,0,0.0272,0.736,176.011,186200,4,Japan,51,5.920000076,5.990719445,5.849280708,1.416915178,1.436337829,0.913475871,0.505625546,0.120572768,0.163760737,1.363223553
01vHGJRvJ6EZW9KO8NtZpi,Un Polvo,Maluma,py,11/2/17,165,1042,0.811,0.681,6,-4.715,0,0.0712,0.673,0,0.636,0.468,134.062,306373,4,Paraguay,70,5.493000031,5.57738127,5.408618791,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,1.68533349
6081KcXIw1Xli7DBL53CVH,A Ella,Karol G,do,12/20/17,192,1015,0.722,0.759,2,-5.413,1,0.215,0.218,6.28E-06,0.15,0.551,181.941,198907,4,Dominican Republic,86,5.230000019,5.349060885,5.110939153,1.079373837,1.402416706,0.574873745,0.552589834,0.18696785,0.113945253,1.31946516
626rYyBfeAeleh1F5t4B70,Caile (feat. Zion & De La Ghetto),Revol,py,12/31/17,200,1175,0.768,0.735,1,-2.511,0,0.0669,0.202,0,0.0557,0.303,129.99,299587,4,Paraguay,70,5.493000031,5.57738127,5.408618791,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,1.68533349
63kgvYkyiyVAAomPuP2Ipt,När man festar festar man,Tonsatt,se,12/30/17,194,15342,0.843,0.755,11,-6.79,0,0.263,0.129,0,0.731,0.617,130.01,184500,4,Sweden,9,7.28399992,7.344094877,7.223904962,1.494387269,1.478162169,0.830875158,0.612924099,0.385399252,0.384398729,2.097537994
5dH7o4TP3HYLvCjo4QAhhv,Trumpets,Sak Noel & Salvi,uy,1/26/17,171,1073,0.676,0.708,9,-6.989,1,0.225,0.00251,0.000134,0.0515,0.435,100.025,206400,4,Uruguay,28,6.453999996,6.545906218,6.362093775,1.217559695,1.412227869,0.719216824,0.579392254,0.175096929,0.178061873,2.172409534
4IaTyEJhqQB1YCCXtTKPLr,Sanki,Bengü,tr,11/17/17,179,7567,0.434,0.633,11,-6.245,0,0.0577,0.256,0,0.243,0.313,160.034,240490,4,Turkey,69,5.5,5.594864963,5.405135037,1.198274374,1.337753177,0.637605608,0.3007406,0.046693042,0.09967158,1.879277945
3H25ywsvlV0ZT2XSpSU7wk,Kontrollieren,RAF Camora,at,8/24/17,75,3697,0.723,0.937,4,-5.162,1,0.229,0.534,6.80E-05,0.0616,0.381,132.018,201249,4,Austria,13,7.006000042,7.070669812,6.941330272,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,2.138506413
2yajAy8Va9VTk3yhF9B3ET,No vaya a ser,Pablo Alborán,py,11/16/17,169,1080,0.731,0.687,1,-7.399,0,0.0586,0.232,2.33E-05,0.265,0.577,99.995,198053,4,Paraguay,70,5.493000031,5.57738127,5.408618791,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,1.68533349
3cfOd4CMv2snFaKAnMdnvK,All Star,Smash Mouth,au,12/30/17,178,22469,0.731,0.861,11,-5.881,1,0.0323,0.0319,0,0.0829,0.78,104.034,200373,4,Australia,10,7.28399992,7.356651225,7.211348615,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373,2.065210819
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,gr,12/31/17,55,1595,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,243837,4,Greece,87,5.227000237,5.325246169,5.128754304,1.289487481,1.239414573,0.810198903,0.095731251,0,0.043289777,1.749221563
