songid,track,artist,region,datee,position,streams,danceability,energy,song_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_sig,country_name,rank,score,high,low,gdp,fam,health,freedom,gen,trust,dys,country_name,cap_name,cap_lat,cap_long,cc,continent
07TAUihsoCBnLWWXuZYUyw,"Sowieso - Radio Version","Mark Forster",at,2017-12-31,176,3848,0.785,0.587,1.0,-7.712,0.0,0.0841,0.134,0.0,0.109,0.686,127.996,162773.0,4.0,Austria,13,7.00600004196167,7.07066981211305,6.94133027181029,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,2.1385064125061,Austria,Vienna,48.2,16.366667,AT,Europe
361EamWYN312TFEpgNBDTE,"Élnünk Kellett Volna","Halott Pénz",hu,2017-12-30,150,1133,0.653,0.935,10.0,-5.785,1.0,0.0955,0.0203,0.0,0.154,0.572,122.093,220328.0,4.0,Hungary,75,5.32399988174438,5.40303970918059,5.24496005430818,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0784016624093056,0.0366369374096394,1.71645927429199,Hungary,Budapest,47.5,19.083333,HU,Europe
7h6S1r4NZ18h7m4zs0UPaK,"Little Boy",KSI,gb,2017-10-05,195,38019,0.848,0.874,10.0,-2.237,0.0,0.313,0.0494,0.00207,0.342,0.251,139.962,130821.0,4.0,"United Kingdom",19,6.71400022506714,6.78379176110029,6.64420868903399,1.44163393974304,1.49646008014679,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,1.70414352416992,"United Kingdom",London,51.5,-0.083333,GB,Europe
49QLsKe0brkbWHK7GKTGHf,Saki,"Sıla",tr,2017-11-09,200,6932,0.695,0.776,5.0,-4.875,1.0,0.0546,0.584,7.14e-06,0.244,0.452,151.971,243267.0,4.0,Turkey,69,5.5,5.59486496329308,5.40513503670692,1.19827437400818,1.33775317668915,0.637605607509613,0.300740599632263,0.0466930419206619,0.0996715798974037,1.87927794456482,Turkey,Ankara,39.9333333333333,32.866667,TR,Europe
7k6Wf3BN6m2kCGIAfouMwP,"Not Above Love",AlunaGeorge,au,2017-04-26,197,16607,0.737,0.741,10.0,-4.96,1.0,0.045,0.421,0.0,0.476,0.572,96.037,190347.0,4.0,Australia,10,7.28399991989136,7.35665122494102,7.2113486148417,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,2.06521081924438,Australia,Canberra,-35.2666666666667,149.133333,AU,Australia
77lqbary6vt1DSc1MBN6sx,"You Were Right","RÜFÜS",au,2017-08-23,200,18603,0.708,0.793,5.0,-5.426,0.0,0.0341,0.0138,0.00227,0.118,0.735,122.014,239418.0,4.0,Australia,10,7.28399991989136,7.35665122494102,7.2113486148417,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,2.06521081924438,Australia,Canberra,-35.2666666666667,149.133333,AU,Australia
7DuvVy7JfFgXwWlVzyyPys,"Pull Up N Wreck (& Metro Boomin)","Big Sean",gr,2017-12-09,107,1020,0.49,0.44,10.0,-7.76,1.0,0.353,0.00806,0.00103,0.186,0.091,173.095,227533.0,4.0,Greece,87,5.22700023651123,5.3252461694181,5.12875430360436,1.28948748111725,1.23941457271576,0.810198903083801,0.0957312509417534,0.0,0.04328977689147,1.74922156333923,Greece,Athens,37.9833333333333,23.733333,GR,Europe
6XSYMtvkAuRdnQm0F7i3Bq,"Já ég veit",Birnir,is,2017-12-31,3,5788,0.817,0.477,1.0,-7.494,1.0,0.331,0.0476,0.000111,0.0895,0.711,91.061,180343.0,4.0,Iceland,3,7.50400018692017,7.62203047305346,7.38596990078688,1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,0.475540220737457,0.153526559472084,2.32271528244019,Iceland,Reykjavik,64.15,-21.95,IS,Europe
19j4zJpumhQ2v0FottwCdD,"Sodom und Gomorrha",Bushido,at,2017-07-10,197,1632,0.519,0.833,6.0,-4.911,0.0,0.445,0.0626,0.0,0.255,0.538,91.724,201933.0,4.0,Austria,13,7.00600004196167,7.07066981211305,6.94133027181029,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,2.1385064125061,Austria,Vienna,48.2,16.366667,AT,Europe
34LpWATZkEdPw0QxWwDc8E,"Þú og ég","Kór Öldutúnsskóla",is,2017-12-24,55,3465,0.623,0.615,0.0,-8.522,1.0,0.032,0.208,0.0,0.14,0.462,126.015,187307.0,4.0,Iceland,3,7.50400018692017,7.62203047305346,7.38596990078688,1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,0.475540220737457,0.153526559472084,2.32271528244019,Iceland,Reykjavik,64.15,-21.95,IS,Europe
